"icd_10_cm","description"
"T38814A","Poisoning by anterior pituitary [adenohypophyseal] hormones, undetermined, initial encounter"
"T38891A","Poisoning by other hormones and synthetic substitutes, accidental (unintentional), initial encounter"
"T38893A","Poisoning by other hormones and synthetic substitutes, assault, initial encounter"
"T38894A","Poisoning by other hormones and synthetic substitutes, undetermined, initial encounter"
"T38901A","Poisoning by unspecified hormone antagonists, accidental (unintentional), initial encounter"
"T38903A","Poisoning by unspecified hormone antagonists, assault, initial encounter"
"T38904A","Poisoning by unspecified hormone antagonists, undetermined, initial encounter"
"T38991A","Poisoning by other hormone antagonists, accidental (unintentional), initial encounter"
"T38993A","Poisoning by other hormone antagonists, assault, initial encounter"
"T38994A","Poisoning by other hormone antagonists, undetermined, initial encounter"
"T39011A","Poisoning by aspirin, accidental (unintentional), initial encounter"
"T39013A","Poisoning by aspirin, assault, initial encounter"
"T39014A","Poisoning by aspirin, undetermined, initial encounter"
"T39091A","Poisoning by salicylates, accidental (unintentional), initial encounter"
"T39093A","Poisoning by salicylates, assault, initial encounter"
"T39094A","Poisoning by salicylates, undetermined, initial encounter"
"T391X1A","Poisoning by 4-Aminophenol derivatives, accidental (unintentional), initial encounter"
"T391X3A","Poisoning by 4-Aminophenol derivatives, assault, initial encounter"
"T391X4A","Poisoning by 4-Aminophenol derivatives, undetermined, initial encounter"
"T392X1A","Poisoning by pyrazolone derivatives, accidental (unintentional), initial encounter"
"T392X3A","Poisoning by pyrazolone derivatives, assault, initial encounter"
"T392X4A","Poisoning by pyrazolone derivatives, undetermined, initial encounter"
"T39311A","Poisoning by propionic acid derivatives, accidental (unintentional), initial encounter"
"T39313A","Poisoning by propionic acid derivatives, assault, initial encounter"
"T39314A","Poisoning by propionic acid derivatives, undetermined, initial encounter"
"T39391A","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], accidental (unintentional), initial encounter"
"T39393A","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], assault, initial encounter"
"T39394A","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], undetermined, initial encounter"
"T394X1A","Poisoning by antirheumatics, not elsewhere classified, accidental (unintentional), initial encounter"
"T394X3A","Poisoning by antirheumatics, not elsewhere classified, assault, initial encounter"
"T394X4A","Poisoning by antirheumatics, not elsewhere classified, undetermined, initial encounter"
"T398X1A","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, accidental (unintentional), initial encounter"
"T398X3A","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, assault, initial encounter"
"T398X4A","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, undetermined, initial encounter"
"T3991XA","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, accidental (unintentional), initial encounter"
"T3993XA","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, assault, initial encounter"
"T3994XA","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, undetermined, initial encounter"
"T402X1A","Poisoning by other opioids, accidental (unintentional), initial encounter"
"T402X3A","Poisoning by other opioids, assault, initial encounter"
"T402X4A","Poisoning by other opioids, undetermined, initial encounter"
"T403X1A","Poisoning by methadone, accidental (unintentional), initial encounter"
"T403X3A","Poisoning by methadone, assault, initial encounter"
"T403X4A","Poisoning by methadone, undetermined, initial encounter"
"T404X1A","Poisoning by other synthetic narcotics, accidental (unintentional), initial encounter"
"T404X3A","Poisoning by other synthetic narcotics, assault, initial encounter"
"T404X4A","Poisoning by other synthetic narcotics, undetermined, initial encounter"
"T40601A","Poisoning by unspecified narcotics, accidental (unintentional), initial encounter"
"T40603A","Poisoning by unspecified narcotics, assault, initial encounter"
"T40604A","Poisoning by unspecified narcotics, undetermined, initial encounter"
"T40691A","Poisoning by other narcotics, accidental (unintentional), initial encounter"
"T40693A","Poisoning by other narcotics, assault, initial encounter"
"T40694A","Poisoning by other narcotics, undetermined, initial encounter"
"T410X1A","Poisoning by inhaled anesthetics, accidental (unintentional), initial encounter"
"T410X3A","Poisoning by inhaled anesthetics, assault, initial encounter"
"T410X4A","Poisoning by inhaled anesthetics, undetermined, initial encounter"
"T411X1A","Poisoning by intravenous anesthetics, accidental (unintentional), initial encounter"
"T411X3A","Poisoning by intravenous anesthetics, assault, initial encounter"
"T411X4A","Poisoning by intravenous anesthetics, undetermined, initial encounter"
"T41201A","Poisoning by unspecified general anesthetics, accidental (unintentional), initial encounter"
"T41203A","Poisoning by unspecified general anesthetics, assault, initial encounter"
"T41204A","Poisoning by unspecified general anesthetics, undetermined, initial encounter"
"T41291A","Poisoning by other general anesthetics, accidental (unintentional), initial encounter"
"T41293A","Poisoning by other general anesthetics, assault, initial encounter"
"T41294A","Poisoning by other general anesthetics, undetermined, initial encounter"
"T413X1A","Poisoning by local anesthetics, accidental (unintentional), initial encounter"
"T413X3A","Poisoning by local anesthetics, assault, initial encounter"
"T413X4A","Poisoning by local anesthetics, undetermined, initial encounter"
"T4141XA","Poisoning by unspecified anesthetic, accidental (unintentional), initial encounter"
"T4143XA","Poisoning by unspecified anesthetic, assault, initial encounter"
"T4144XA","Poisoning by unspecified anesthetic, undetermined, initial encounter"
"T415X1A","Poisoning by therapeutic gases, accidental (unintentional), initial encounter"
"T415X3A","Poisoning by therapeutic gases, assault, initial encounter"
"T415X4A","Poisoning by therapeutic gases, undetermined, initial encounter"
"T420X1A","Poisoning by hydantoin derivatives, accidental (unintentional), initial encounter"
"T420X3A","Poisoning by hydantoin derivatives, assault, initial encounter"
"T420X4A","Poisoning by hydantoin derivatives, undetermined, initial encounter"
"T421X1A","Poisoning by iminostilbenes, accidental (unintentional), initial encounter"
"T421X3A","Poisoning by iminostilbenes, assault, initial encounter"
"T421X4A","Poisoning by iminostilbenes, undetermined, initial encounter"
"T422X1A","Poisoning by succinimides and oxazolidinediones, accidental (unintentional), initial encounter"
"T422X3A","Poisoning by succinimides and oxazolidinediones, assault, initial encounter"
"T422X4A","Poisoning by succinimides and oxazolidinediones, undetermined, initial encounter"
"T423X1A","Poisoning by barbiturates, accidental (unintentional), initial encounter"
"T423X3A","Poisoning by barbiturates, assault, initial encounter"
"T423X4A","Poisoning by barbiturates, undetermined, initial encounter"
"T425X1A","Poisoning by mixed antiepileptics, accidental (unintentional), initial encounter"
"T425X3A","Poisoning by mixed antiepileptics, assault, initial encounter"
"T425X4A","Poisoning by mixed antiepileptics, undetermined, initial encounter"
"T426X1A","Poisoning by other antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter"
"T426X3A","Poisoning by other antiepileptic and sedative-hypnotic drugs, assault, initial encounter"
"T426X4A","Poisoning by other antiepileptic and sedative-hypnotic drugs, undetermined, initial encounter"
"T4271XA","Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter"
"T4273XA","Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, assault, initial encounter"
"T4274XA","Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, undetermined, initial encounter"
"T428X1A","Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, accidental (unintentional), initial encounter"
"T428X3A","Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, assault, initial encounter"
"T428X4A","Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, undetermined, initial encounter"
"T440X1A","Poisoning by anticholinesterase agents, accidental (unintentional), initial encounter"
"T440X3A","Poisoning by anticholinesterase agents, assault, initial encounter"
"T440X4A","Poisoning by anticholinesterase agents, undetermined, initial encounter"
"T441X1A","Poisoning by other parasympathomimetics [cholinergics], accidental (unintentional), initial encounter"
"T441X3A","Poisoning by other parasympathomimetics [cholinergics], assault, initial encounter"
"T441X4A","Poisoning by other parasympathomimetics [cholinergics], undetermined, initial encounter"
"T442X1A","Poisoning by ganglionic blocking drugs, accidental (unintentional), initial encounter"
"T442X3A","Poisoning by ganglionic blocking drugs, assault, initial encounter"
"T442X4A","Poisoning by ganglionic blocking drugs, undetermined, initial encounter"
"T443X1A","Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, accidental (unintentional), initial encounter"
"T443X3A","Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, assault, initial encounter"
"T443X4A","Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, undetermined, initial encounter"
"T444X1A","Poisoning by predominantly alpha-adrenoreceptor agonists, accidental (unintentional), initial encounter"
"T444X3A","Poisoning by predominantly alpha-adrenoreceptor agonists, assault, initial encounter"
"T444X4A","Poisoning by predominantly alpha-adrenoreceptor agonists, undetermined, initial encounter"
"T445X1A","Poisoning by predominantly beta-adrenoreceptor agonists, accidental (unintentional), initial encounter"
"T445X3A","Poisoning by predominantly beta-adrenoreceptor agonists, assault, initial encounter"
