"icd_9_pcs","long_description","short_description"
9151,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, bacterial smear",Bact smear-musculoskel
9152,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, culture",Culture-musculoskeletal
9153,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, culture and sensitivity",C & s-musculoskeletal
9154,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, parasitology",Parasitology-musculoskel
9155,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, toxicology",Toxicology-musculoskel
9156,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, cell block and Papanicolaou smear",Cell blk/pap-musculoskel
9159,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, other microscopic examination",Micro exam-musculosk NEC
9161,"Microscopic examination of specimen from skin and other integument, bacterial smear",Bact smear-integument
9162,"Microscopic examination of specimen from skin and other integument, culture",Culture-integument
9163,"Microscopic examination of specimen from skin and other integument, culture and sensitivity",C & s-integument
9164,"Microscopic examination of specimen from skin and other integument, parasitology",Parasitology-integument
9165,"Microscopic examination of specimen from skin and other integument, toxicology",Toxicology-integument
9166,"Microscopic examination of specimen from skin and other integument, cell block and Papanicolaou smear",Cell blk/pap-integument
9169,"Microscopic examination of specimen from skin and other integument, other microscopic examination",Micro exam-integumen NEC
9171,"Microscopic examination of specimen from operative wound, bacterial smear",Bact smear-op wound
9172,"Microscopic examination of specimen from operative wound, culture",Culture-op wound
9173,"Microscopic examination of specimen from operative wound, culture and sensitivity",C & s-op wound
9174,"Microscopic examination of specimen from operative wound, parasitology",Parasitology-op wound
9175,"Microscopic examination of specimen from operative wound, toxicology",Toxicology-op wound
9176,"Microscopic examination of specimen from operative wound, cell block and Papanicolaou smear",Cell blk/pap-op wound
9179,"Microscopic examination of specimen from operative wound, other microscopic examination",Micro exam-op wound NEC
9181,"Microscopic examination of specimen from other site, bacterial smear",Bact smear NEC
9182,"Microscopic examination of specimen from other site, culture",Culture NEC
9183,"Microscopic examination of specimen from other site, culture and sensitivity",C & s NEC
9184,"Microscopic examination of specimen from other site, parasitology",Parasitology NEC
9185,"Microscopic examination of specimen from other site, toxicology",Toxicology NEC
9186,"Microscopic examination of specimen from other site, cell block and Papanicolaou smear",Cell blk/pap NEC
9189,"Microscopic examination of specimen from other site, other microscopic examination",Micro exam NEC
9191,"Microscopic examination of specimen from unspecified site, bacterial smear",Bact smear NOS
9192,"Microscopic examination of specimen from unspecified site, culture",Culture NOS
9193,"Microscopic examination of specimen from unspecified site, culture and sensitivity",C & s NOS
9194,"Microscopic examination of specimen from unspecified site, parasitology",Parasitology NOS
9195,"Microscopic examination of specimen from unspecified site, toxicology",Toxicology NOS
9196,"Microscopic examination of specimen from unspecified site, cell block and Papanicolaou smear",Cell blk/pap NOS
9199,"Microscopic examination of specimen from unspecified site, other microscopic examination",Micro exam NOS
9201,Thyroid scan and radioisotope function studies,Thyroid scan/isotop func
9202,Liver scan and radioisotope function study,Liver scan/isotope funct
9203,Renal scan and radioisotope function study,Renal scan/isotope funct
9204,Gastrointestinal scan and radioisotope function study,GI scan & isotope funct
9205,Cardiovascular and hematopoietic scan and radioisotope function study,C-vasc scan/isotop funct
9209,Other radioisotope function studies,Other isotope function
9211,Cerebral scan,Cerebral scan
9212,Scan of other sites of head,Head scan NEC
9213,Parathyroid scan,Parathyroid scan
9214,Bone scan,Bone scan
9215,Pulmonary scan,Pulmonary scan
9216,Scan of lymphatic system,Lymphatic system scan
9217,Placental scan,Placental scan
9218,Total body scan,Total body scan
9219,Scan of other sites,Scan of other sites
9220,Infusion of liquid brachytherapy radioisotope,Inf liquid brachy isotop
9221,Superficial radiation,Superficial radiation
9222,Orthovoltage radiation,Orthovoltage radiation
9223,Radioisotopic teleradiotherapy,Radioisot teleradiother
9224,Teleradiotherapy using photons,Teleradio using photons
9225,Teleradiotherapy using electrons,Electron teleradiotherap
9226,Teleradiotherapy of other particulate radiation,Particul teleradioth NEC
9227,Implantation or insertion of radioactive elements,Radioactive elem implant
9228,Injection or instillation of radioisotopes,Isotope inject/instill
9229,Other radiotherapeutic procedure,Radiotherapeut proc NEC
9230,"Stereotactic radiosurgery, not otherwise specified",Stereo radiosurgery NOS
9231,Single source photon radiosurgery,Sing source radiosurgery
9232,Multi-source photon radiosurgery,Multisource radiosurgery
9233,Particulate radiosurgery,Particulate radiosurgery
9239,"Stereotactic radiosurgery, not elsewhere classified",Stereo radiosurgery NEC
9241,Intra-operative electron radiation therapy,Intra-op electron rad rx
9301,Functional evaluation,Functional pt evaluation
9302,Orthotic evaluation,Orthotic evaluation
9303,Prosthetic evaluation,Prosthetic evaluation
9304,Manual testing of muscle function,Manual muscle funct test
9305,Range of motion testing,Range of motion testing
9306,Measurement of limb length,Limb length measurement
9307,Body measurement,Body measurement
9308,Electromyography,Electromyography
9309,Other diagnostic physical therapy procedure,Other dx pt procedure
9311,Assisting exercise,Assisting exercise
9312,Other active musculoskeletal exercise,Activ musculosk exer NEC
9313,Resistive exercise,Resistive exercise
9314,Training in joint movements,Joint movement training
9315,Mobilization of spine,Mobilization of spine
9316,Mobilization of other joints,Other joint mobilization
9317,Other passive musculoskeletal exercise,Pass musculosk exer NEC
9318,Breathing exercise,Pt breathing exercise
9319,"Exercise, not elsewhere classified",Pt exercise NEC
9321,Manual and mechanical traction,Manual & mechan traction
9322,Ambulation and gait training,Ambulat & gait training
9323,Fitting of orthotic device,Orthotic device fitting
9324,Training in use of prosthetic or orthotic device,Prosthet/orthot training
9325,Forced extension of limb,Forced limb extension
9326,Manual rupture of joint adhesions,Manual rupt joint adhes
9327,Stretching of muscle or tendon,Musc or tend stretching
9328,Stretching of fascia,Stretching of fascia
9329,Other forcible correction of musculoskeletal deformity,Forcib correct defor NEC
9331,Assisted exercise in pool,Assisted pool exercise
9332,Whirlpool treatment,Whirlpool treatment
9333,Other hydrotherapy,Other hydrotherapy
9334,Diathermy,Diathermy
9335,Other heat therapy,Other heat therapy
9336,Cardiac retraining,Cardiac retraining
9337,Prenatal training,Prenatal training
9338,Combined physical therapy without mention of the components,Combined pt NOS
9339,Other physical therapy,Physical therapy NEC
9341,Spinal traction using skull device,Spine tract w skull dev
9342,Other spinal traction,Other spinal traction
9343,Intermittent skeletal traction,Intermitt skel traction
9344,Other skeletal traction,Other skeletal traction
9345,Thomas' splint traction,Thomas' splint traction
9346,Other skin traction of limbs,Limb skin traction NEC
9351,Application of plaster jacket,Plaster jacket applicat
9352,Application of neck support,Neck support application
9353,Application of other cast,Other cast application
9354,Application of splint,Application of splint
9355,Dental wiring,Dental wiring
9356,Application of pressure dressing,Pressure dressing applic
9357,Application of other wound dressing,Dressing of wound NEC
9358,Application of pressure trousers,Pressure trouser applica
9359,"Other immobilization, pressure, and attention to wound",Immobiliz/wound attn NEC
9361,Osteopathic manipulative treatment for general mobilization,Omt for gen'l mobilizat
9362,"Osteopathic manipulative treatment using high-velocity, low-amplitude forces","Omt with hi-vel,lo-ampli"
9363,"Osteopathic manipulative treatment using low- velocity, high-amplitude forces","Omt with lo-vel,hi-ampli"
9364,"Osteopathic manipulative treatment using isotonic, isometric forces","Omt with isoton,isometri"
9365,Osteopathic manipulative treatment using indirect forces,Omt with indirect forces
9366,Osteopathic manipulative treatment to move tissue fluids,Omt to move tissue fluid
9367,Other specified osteopathic manipulative treatment,Osteopath manipulat NEC
9371,Dyslexia training,Dyslexia training
9372,Dysphasia training,Dysphasia training
9373,Esophageal speech training,Esophag speech training
9374,Speech defect training,Speech defect training
9375,Other speech training and therapy,Other speech therapy
9376,Training in use of lead dog for the blind,Training in lead dog use
9377,Training in braille or moon,Braille or moon training
9378,Other rehabilitation for the blind,Rehab for the blind NEC
9381,Recreation therapy,Recreational therapy
9382,Educational therapy,Educational therapy
9383,Occupational therapy,Occupational therapy
9384,Music therapy,Music therapy
9385,Vocational rehabilitation,Vocational rehabilitat
9389,"Rehabilitation, not elsewhere classified",Rehabilitation NEC
9390,Non-invasive mechanical ventilation,Non-invasive mech vent
9391,Intermittent positive pressure breathing [IPPB],Ippb
9393,Nonmechanical methods of resuscitation,Nonmechan resuscitation
9394,Respiratory medication administered by nebulizer,Nebulizer therapy
9395,Hyperbaric oxygenation,Hyperbaric oxygenation
9396,Other oxygen enrichment,Oxygen enrichment NEC
9397,Decompression chamber,Decompression chamber
9398,Other control of atmospheric pressure and composition,Atmos press/compos contr
9399,Other respiratory procedures,Other resp procedures
9401,Administration of intelligence test,Intelligence test admin
9402,Administration of psychologic test,Psychologic test adminis
9403,Character analysis,Character analysis
9408,Other psychologic evaluation and testing,Psychol eval & test NEC
9409,"Psychologic mental status determination, not otherwise specified",Psychol mental stat NOS
9411,Psychiatric mental status determination,Psychiat mental determin
9412,"Routine psychiatric visit, not otherwise specified",Routine psychiat visit
9413,Psychiatric commitment evaluation,Psychia commitment eval
9419,Other psychiatric interview and evaluation,Psychia interv/eval NEC
9421,Narcoanalysis,Narcoanalysis
9422,Lithium therapy,Lithium therapy
9423,Neuroleptic therapy,Neuroleptic therapy
9424,Chemical shock therapy,Chemical shock therapy
9425,Other psychiatric drug therapy,Psychiat drug therap NEC
9426,Subconvulsive electroshock therapy,Subconvulsive est
9427,Other electroshock therapy,Electroshock therapy NEC
9429,Other psychiatric somatotherapy,Psychiatr somatother NEC
9431,Psychoanalysis,Psychoanalysis
9432,Hypnotherapy,Hypnotherapy
9433,Behavior therapy,Behavior therapy
9434,Individual therapy for psychosexual dysfunction,Ind therap psychsex dysf
9435,Crisis intervention,Crisis intervention
9436,Play psychotherapy,Play psychotherapy
9437,Exploratory verbal psychotherapy,Explor verbal psychother
9438,Supportive verbal psychotherapy,Suppor verbal psychother
