"icd_10_pcs","description","ccs_code_and_description","specialty_cohort"
"0TVB4ZZ","Restriction of Bladder, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVB7DZ","Restriction of Bladder with Intraluminal Device, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVB7ZZ","Restriction of Bladder, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVB8DZ","Restriction of Bladder with Intraluminal Device, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVB8ZZ","Restriction of Bladder, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVC0CZ","Restriction of Bladder Neck with Extraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVC0DZ","Restriction of Bladder Neck with Intraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVC0ZZ","Restriction of Bladder Neck, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVC3CZ","Restriction of Bladder Neck with Extraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVC3DZ","Restriction of Bladder Neck with Intraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVC3ZZ","Restriction of Bladder Neck, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVC4CZ","Restriction of Bladder Neck with Extraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVC4DZ","Restriction of Bladder Neck with Intraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVC4ZZ","Restriction of Bladder Neck, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVC7DZ","Restriction of Bladder Neck with Intraluminal Device, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVC7ZZ","Restriction of Bladder Neck, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVC8DZ","Restriction of Bladder Neck with Intraluminal Device, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVC8ZZ","Restriction of Bladder Neck, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW500Z","Revision of Drainage Device in Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW502Z","Revision of Monitoring Device in Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW503Z","Revision of Infusion Device in Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW507Z","Revision of Autologous Tissue Substitute in Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW50CZ","Revision of Extraluminal Device in Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW50DZ","Revision of Intraluminal Device in Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW50JZ","Revision of Synthetic Substitute in Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW50KZ","Revision of Nonautologous Tissue Substitute in Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW50YZ","Revision of Other Device in Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW530Z","Revision of Drainage Device in Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW532Z","Revision of Monitoring Device in Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW533Z","Revision of Infusion Device in Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW537Z","Revision of Autologous Tissue Substitute in Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW53CZ","Revision of Extraluminal Device in Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW53DZ","Revision of Intraluminal Device in Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW53JZ","Revision of Synthetic Substitute in Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW53KZ","Revision of Nonautologous Tissue Substitute in Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW540Z","Revision of Drainage Device in Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW542Z","Revision of Monitoring Device in Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW543Z","Revision of Infusion Device in Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW547Z","Revision of Autologous Tissue Substitute in Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW54CZ","Revision of Extraluminal Device in Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW54DZ","Revision of Intraluminal Device in Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW54JZ","Revision of Synthetic Substitute in Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW54KZ","Revision of Nonautologous Tissue Substitute in Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW570Z","Revision of Drainage Device in Kidney, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW572Z","Revision of Monitoring Device in Kidney, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW573Z","Revision of Infusion Device in Kidney, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW577Z","Revision of Autologous Tissue Substitute in Kidney, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW57CZ","Revision of Extraluminal Device in Kidney, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW57DZ","Revision of Intraluminal Device in Kidney, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW57JZ","Revision of Synthetic Substitute in Kidney, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW57KZ","Revision of Nonautologous Tissue Substitute in Kidney, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW580Z","Revision of Drainage Device in Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW582Z","Revision of Monitoring Device in Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW583Z","Revision of Infusion Device in Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW587Z","Revision of Autologous Tissue Substitute in Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW58CZ","Revision of Extraluminal Device in Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW58DZ","Revision of Intraluminal Device in Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW58JZ","Revision of Synthetic Substitute in Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW58KZ","Revision of Nonautologous Tissue Substitute in Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW58YZ","Revision of Other Device in Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW900Z","Revision of Drainage Device in Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW902Z","Revision of Monitoring Device in Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW903Z","Revision of Infusion Device in Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW907Z","Revision of Autologous Tissue Substitute in Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW90CZ","Revision of Extraluminal Device in Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW90DZ","Revision of Intraluminal Device in Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW90JZ","Revision of Synthetic Substitute in Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW90KZ","Revision of Nonautologous Tissue Substitute in Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW90MZ","Revision of Stimulator Lead in Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW90YZ","Revision of Other Device in Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW930Z","Revision of Drainage Device in Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW932Z","Revision of Monitoring Device in Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW933Z","Revision of Infusion Device in Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW937Z","Revision of Autologous Tissue Substitute in Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW93CZ","Revision of Extraluminal Device in Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW93DZ","Revision of Intraluminal Device in Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW93JZ","Revision of Synthetic Substitute in Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW93KZ","Revision of Nonautologous Tissue Substitute in Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW93MZ","Revision of Stimulator Lead in Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW940Z","Revision of Drainage Device in Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW942Z","Revision of Monitoring Device in Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW943Z","Revision of Infusion Device in Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW947Z","Revision of Autologous Tissue Substitute in Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW94CZ","Revision of Extraluminal Device in Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW94DZ","Revision of Intraluminal Device in Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW94JZ","Revision of Synthetic Substitute in Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW94KZ","Revision of Nonautologous Tissue Substitute in Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW94MZ","Revision of Stimulator Lead in Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW970Z","Revision of Drainage Device in Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW972Z","Revision of Monitoring Device in Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW973Z","Revision of Infusion Device in Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW977Z","Revision of Autologous Tissue Substitute in Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW97CZ","Revision of Extraluminal Device in Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TW97DZ","Revision of Intraluminal Device in Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
